Name,Minimum ph ,Maximum ph,Minimum N ,Maximum N,Minimum P,Maximum P,Minimum K,Maximum K,Minimum Temp,Maximum Temp,Start Month,End Month
RICE(Oryza_sativa)Boro_rice,5.5,7,0,120,0,16,0,76,20,36,11,12
"RICE(Oryza_sativa)Boro_rice(Var:BRI-4,BRI-5)",5.5,7,0,96,0,14,0,60,20,36,11,12
"RICE(Oryza_sativa)Boro_rice(Var:BRI-1,BRI-2)",5.5,7,0,80,0,12,0,50,20,36,11,12
"Aus_rice(Var.BR11,BR12,BR14,BR16)",5.5,7,0,64,0,8,0,40,20,36,3,4
"Aus_rice(Var.BR10,BRI13,BRI5)",5.5,7,0,44,0,8,0,30,20,36,3,4
B.Aman_rice,5.5,7,0,24,0,6,0,20,20,36,6,7
"T.Aman_rice(Var:BR11,BR22)",5.5,7,0,60,0,10,0,50,20,36,6,7
"T.Aman_rice(Var:BRIS,BRRdhan3)",5.5,7,0,48,0,8,0,40,20,36,6,7
"T.Aman_rice(Var:BRS,Binadhan-9)",5.5,7,0,36,0,6,0,30,20,36,6,7
WHEAT(Triticum_aestivum)(Winter),6,7.5,0,80,0,16,0,60,15,20,11,12
WHEAT(Triticum_aestivum)(Rainfed_culture),6,7.5,0,30,0,10,0,14,15,20,11,12
MAIZE(Zea_nays)(Hybrid_Varieties:BART_Aybrid_Bhutta-3),5.5,7,0,150,0,40,0,80,22,25,10,12
"MAIZE(Zea_nays)(OF_Varities:BARI_Bhotta-5,BARI_Bhotto-6)",5.5,7,0,30,0,10,0,24,22,25,10,12
BARLEY(Herdewm_vulgare),6,8,0,40,0,14,0,30,15,25,11,1
"JUTE(Corchorus_capsularis)(Var.CVL-1,CVE-3)",5,7.5,0,50,0,8,0,40,24,37,3,4
"JUTE(Corchorus_ofitoritus)(Var.0-9897,OM-1)",5,7.5,0,60,0,10,0,50,24,37,3,4
"COTTON(Gossypiimn_harbaceun)(Var:CB4, CB 10)",6,7,0,60,0,24,0,50,25,35,2,3
"COTTON(Gossypiimn_harbaceun)(Var:UB-12,CB-13,CB-14)",6,7,0,80,0,30,0,90,25,35,2,3
"COTTON(Goessypinm_harbaceum)(Var.Rupali-1,DM-2,DM-3)",6,7,0,90,0,30,0,100,25,35,2,3
LENTIL(Lens_culinaris),6,7.5,0,14,0,12,0,14,10,25,10,11
CHICKPEA(Cicer_arietinum),6,7,0,18,0,12,0,16,15,25,10,11
MUNG_BEAN(Figna_radiata),6.2,7.5,0,12,0,12,0,16,20,30,2,3
